index;Name;Code;SMILES
0;phthalocyanine;PTCA;[*]C1=C([*])C2=C(/N=C3C4=C(C([*])=C([*])C([*])=C4[*])C5=N/3)NC(/N=C6N=C(/N=C(C7=C/8C([*])=C([*])C([*])=C7[*])\NC8=N/5)C9=C\6C([*])=C([*])C([*])=C9[*])=C2C([*])=C1[*] |$Q;;;R1;;;;;;;;R1;;Q;;R2;;R3;;;;;;;;;;;;;;R3;;R2;;Q;;R1;;;;;;;R1;;Q;;R2;;R3;;;R3;;R2$|
1;5,10,15,20-tetraphenylporphyrin;PHPR;[*]C(C([*])=C1[*])=C([*])C([*])=C1/C(C2=C([*])C([*])=C(/C(C3=C([*])C([*])=C([*])C([*])=C3[*])=C4C([*])=C([*])C5=N/4)N2)=C6N=C(/C(C7=C([*])C([*])=C([*])C([*])=C7[*])=C(C([*])=C/8[*])\NC8=C5\C9=C([*])C([*])=C([*])C([*])=C9[*])C([*])=C/6[*] |$Q;;;R2;;R4;;R1;;R3;;;;;R5;;R6;;;;;R3;;R1;;Q;;R2;;R4;;;R5;;R6;;;;;;;;;;R3;;R1;;Q;;R2;;R4;;;R6;;R5;;;;;;R3;;R1;;Q;;R2;;R4;;R5;;R6$|
2;porphyrin;PORP;[*]/C(C1=C([*])C([*])=C(/C([*])=C2C([*])=C([*])C3=N/2)N1)=C4N=C(/C([*])=C(C([*])=C/5[*])\NC5=C3\[*])C([*])=C/4[*] |$Q;;;;R2;;R1;;;Q;;;R2;;R1;;;;;;;;Q;;;R1;;R2;;;;Q;;R2;;R1$|
